Body Type,Club,Club (group),Contract Valid Until,Height,ID,Jersey Number,Joined,Loaned From,Name,Nationality,Play|Not_Play,Position,Preferred Foot,Release Clause,Value,Wage,Weight,Work Rate,Acceleration,Age,Aggression,Agility,Balance,Ball Control,Composure,Crossing,Curve,Dribbling,F1,Finishing,FK Accuracy,GK calculation,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes,Heading Accuracy,Interceptions,International Reputation,Jumping,Long Passing,Long Shots,Marking,Number of Records,Overall,Penalties,Positioning,Potential,Reactions,Short Passing,Shot Power,Skill Moves,Sliding Tackle,Special,Sprint Speed,Stamina,Standing Tackle,Strength,Vision,Volleys,Weak Foot
Lean,Livorno,Livorno,2019,6'3,7647,3,16-07-2018,,D. Dainelli,Italy,No,CB,Right,€419K,€270K,€2K,172lbs,Low/ Medium,30,39,69,30,34,55,75,28,40,52,3128,22,31,Low,6,12,14,13,10,73,83,2,74,64,31,73,1,73,30,16,73,70,56,69,2,70,1419,33,32,76,79,25,19,3
Normal,Bologna,Bologna,30-Jun-19,6'1,166072,23,,Udinese,Danilo,BRAZIL,No,CB,Right,,€2.7M,€26K,168lbs,Low/ Medium,49,34,78,46,60,60,74,30,34,46,1117,24,30,Low,11,8,11,5,6,72,83,2,76,66,48,80,1,77,48,25,77,73,60,72,2,79,1592,53,42,82,71,42,22,3
Normal,FC Augsburg,FC Augsburg,2019,6'2,137449,18,01-01-2011,,J. Callsen-Bracker,Germany,No,CB,Right,€1.6M,€950K,€14K,185lbs,Low/ Medium,34,33,76,35,42,60,66,48,35,40,4671,27,57,High,12,7,11,11,11,78,67,2,64,66,73,72,1,71,76,31,71,68,68,68,2,71,1609,33,33,71,72,57,35,3
Normal,Olympique de Marseille,Olympique de Marseille,2019,6'2,163083,6,31-08-2015,,Rolando,Portugal,No,CB,Right,€7.3M,€3.8M,€35K,170lbs,Low/ Medium,34,32,75,34,36,66,73,44,46,47,1596,20,44,High,14,8,16,6,15,74,76,2,67,66,48,74,1,75,48,45,75,68,68,62,2,74,1606,32,54,80,81,47,37,3
Stocky,Kayserispor,Kayserispor,2019,6'0,183975,76,16-08-2016,,J. Kana-Biyik,Cameroon,No,RCB,Right,€10.4M,€5M,€13K,190lbs,Low/ Medium,63,28,79,52,56,59,71,36,24,56,2432,20,19,Low,15,13,15,13,8,74,73,2,74,57,38,71,1,74,45,35,75,70,60,44,2,70,1609,64,70,74,84,48,30,3
Lean,Eintracht Frankfurt,Eintracht Frankfurt,2019,5'10,158438,5,01-07-2017,,Gelson Fernandes,Switzerland,No,LCM,Right,€7.6M,€4.5M,€28K,154lbs,Medium/ High,66,31,87,66,67,67,71,62,57,64,2019,51,55,High,14,6,13,10,13,63,79,2,70,69,55,73,1,75,50,61,75,72,72,67,2,69,1920,60,90,74,75,68,55,3
Lean,Hertha BSC,Hertha BSC,2019,5'11,177019,28,08-08-2007,,F. Lustenberger,Switzerland,No,RCB,Right,€9.4M,€5.5M,€24K,154lbs,Medium/ High,63,30,76,65,66,70,72,45,38,61,1392,32,36,Low,13,9,12,13,7,72,83,2,87,67,35,80,1,76,50,32,76,77,75,47,2,78,1758,53,68,82,68,63,35,3
Lean,SL Benfica,SL Benfica,2019,6'2,208230,22,22-08-2014,,A. Samaris,Greece,No,CDM,Right,€12M,€6M,€12K,185lbs,Medium/ High,59,29,92,56,58,74,68,63,66,71,1361,59,73,High,11,11,8,7,12,76,79,2,75,69,72,74,1,76,66,65,76,73,76,77,2,73,1991,58,54,77,86,66,55,3
Lean,Genoa,Genoa,2023,6'4,171830,2,26-07-2017,,N. Spolli,Argentina,No,CB,Right,€2.7M,€1.6M,€11K,198lbs,Medium/ High,32,35,73,32,32,49,73,25,19,45,1677,36,18,High,8,7,10,10,14,78,79,2,68,45,22,76,1,75,33,20,75,60,45,72,2,74,1392,46,33,78,93,25,35,3
Normal,1. FC Köln,1. FC Köln,2019,5'10,52498,33,01-07-2012,,M. Lehmann,Germany,No,CDM,Right,€1.1M,€725K,€10K,165lbs,Medium/ High,34,35,75,63,65,69,70,64,70,61,3275,58,70,Low,12,14,16,11,13,64,76,2,75,69,67,71,1,72,76,58,72,69,72,72,2,71,1904,32,70,72,71,68,56,3
Normal,1. FSV Mainz 05,1. FSV Mainz 05,2019,5'10,197786,2,25-01-2016,,G. Donati,Italy,No,RB,Right,€5.7M,€3.2M,€21K,168lbs,Medium/ High,68,28,92,66,69,70,66,67,55,65,2980,33,46,Low,16,15,8,9,8,70,73,2,68,70,43,73,1,73,51,49,73,73,66,65,2,72,1845,74,77,76,75,51,32,3
Normal,RC Celta,RC Celta,2020,5'10,183966,24,12-07-2016,,F. Roncaglia,Argentina,No,CB,Right,€9.4M,€4.5M,€20K,168lbs,Medium/ High,61,31,74,65,69,69,70,68,67,59,1890,38,52,High,15,14,15,6,15,70,79,2,80,81,73,70,1,75,35,51,75,72,69,80,2,78,1893,67,65,80,72,59,25,3
Normal,Sassuolo,Sassuolo,2019,5'11,149185,4,01-07-2005,,F. Magnanelli,Italy,No,CDM,Right,€4.6M,€2.7M,€40K,174lbs,Medium/ High,67,33,85,63,64,72,82,61,62,56,1962,45,61,Low,8,12,7,11,5,61,79,2,55,71,66,78,1,75,57,53,75,72,72,68,2,75,1896,65,69,76,70,70,60,3
Normal,San Lorenzo de Almagro,San Lorenzo de Almagro,2020,6'0,142780,2,10-07-2017,,G. Rodríguez,Argentina,No,LCB,Right,€3M,€2M,€18K,174lbs,Medium/ High,62,34,81,64,58,67,75,38,50,57,1951,45,46,High,12,4,11,12,9,80,75,2,81,65,36,74,1,75,72,32,75,71,63,69,2,71,1777,67,66,73,78,65,23,3
Normal,FC Basel 1893,FC Basel 1893,2019,6'1,187132,25,30-01-2018,,C. Zambrano,Peru,No,CB,Right,€11M,€7M,€25K,172lbs,Medium/ High,65,28,91,65,59,69,73,51,36,66,1565,41,33,High,14,12,13,12,14,74,70,2,82,68,54,75,1,76,44,44,77,66,72,67,2,76,1800,62,73,77,74,45,36,3
Normal,Changchun Yatai FC,Changchun Yatai FC,2020,6'1,193714,39,08-07-2018,,N. Pejčinović,Serbia,No,CB,Right,€14M,€6.5M,€13K,176lbs,Medium/ High,43,30,82,58,60,63,71,67,47,45,1101,30,31,Low,10,14,7,14,10,80,77,2,89,61,44,75,1,77,37,30,77,72,67,59,2,76,1736,62,71,75,80,56,44,3
Normal,Kayserispor,Kayserispor,2019,6'2,156221,22,04-07-2017,,C. Săpunaru,Romania,No,RCB,Right,€1.5M,€725K,€9K,179lbs,Medium/ High,63,34,84,65,63,66,56,62,66,66,4167,60,67,Low,8,13,16,12,8,69,66,2,67,64,72,68,1,71,68,67,71,77,62,80,2,64,1936,55,67,69,80,69,53,3
Normal,Chievo Verona,Chievo Verona,30-Jun-19,6'2,185163,15,,Genoa,L. Rossettini,Italy,No,LCB,Right,,€3.1M,€16K,181lbs,Medium/ High,59,33,76,58,50,54,74,35,42,50,1318,29,36,Low,5,5,5,5,5,76,76,2,78,58,60,80,1,76,45,32,76,70,58,65,2,77,1624,55,59,78,81,28,34,3
Normal,Medipol Başakşehir FK,Medipol Başakşehir FK,2019,6'3,177533,27,21-07-2017,,Manuel da Costa,Morocco,No,RCB,Right,€2.6M,€1.4M,€14K,185lbs,Medium/ High,53,32,82,51,43,56,52,33,34,50,4364,28,36,High,9,7,9,15,8,71,68,2,81,58,60,69,1,71,44,30,71,57,52,72,2,64,1587,60,64,74,83,38,28,3
Normal,Bologna,Bologna,2020,6'3,182179,4,01-07-2017,,S. De Maio,France,No,CB,Right,€10.2M,€6M,€30K,198lbs,Medium/ High,61,31,74,54,54,54,76,11,23,52,1086,20,39,High,6,5,5,11,7,72,78,2,83,54,37,80,1,77,46,19,77,70,50,61,2,78,1560,67,63,80,92,34,20,3
Normal,Beşiktaş JK,Beşiktaş JK,2021,6'4,212225,3,27-07-2018,,E. Roco,Chile,No,CB,Right,€13.8M,€7M,€36K,174lbs,Medium/ High,37,25,66,57,43,62,67,40,27,55,1575,43,31,High,13,9,13,13,13,79,72,2,80,60,39,77,1,75,34,42,78,73,70,45,2,69,1612,43,72,75,84,49,27,3
Normal,Moreirense FC,Moreirense FC,2019,6'0,178264,11,07-08-2018,,Nenê,BRAZIL,No,ST,Right,€1.9M,€925K,€5K,172lbs,Medium/ Low,46,34,80,63,70,65,80,47,66,59,5087,73,62,Low,4,4,4,4,4,74,20,2,90,45,61,19,1,70,71,75,70,67,65,70,2,22,1679,59,48,30,85,55,72,3
Lean,Hertha BSC,Hertha BSC,2020,5'9,190854,2,31-08-2012,,P. Pekarík,Slovakia,No,RB,Right,€7.4M,€4.4M,€23K,154lbs,Medium/ Medium,72,31,65,73,76,76,73,73,67,73,1844,29,39,Low,12,12,15,9,10,44,75,2,63,64,30,79,1,75,49,54,75,76,74,56,2,81,1815,73,69,78,65,49,35,3
Lean,Brescia,Brescia,2019,6'1,137410,5,26-08-2017,,D. Gastaldello,Italy,No,LCB,Right,€853K,€550K,€2K,170lbs,Medium/ Medium,39,35,73,38,59,58,72,34,37,52,4544,35,23,High,6,8,8,5,10,72,74,2,80,62,39,69,1,71,41,30,71,66,59,54,2,69,1516,39,44,72,79,49,33,3
Lean,Stade Rennais FC,Stade Rennais FC,2019,6'2,196801,4,01-07-2014,,Mexer,Mozambique,No,LCB,Right,€9.5M,€5M,€28K,174lbs,Medium/ Medium,52,29,78,66,64,69,75,40,55,59,1961,44,32,Low,10,14,7,11,11,72,75,2,75,55,59,73,1,75,38,43,75,66,72,49,2,74,1762,67,74,75,79,54,50,3
Lean,Frosinone,Frosinone,2019,6'3,178475,9,01-07-2013,,D. Ciofani,Italy,No,ST,Right,€5.7M,€3.2M,€15K,181lbs,Medium/ Medium,55,32,66,34,39,68,74,26,29,53,2696,75,48,High,11,9,7,13,15,78,29,2,89,23,70,22,1,73,65,79,73,74,57,76,2,12,1547,69,56,14,83,42,61,3
Lean,Stade de Reims,Stade de Reims,2021,6'4,210828,2,31-08-2017,,B. Engels,Belgium,No,RCB,Right,€17.6M,€8M,€14K,187lbs,Medium/ Medium,53,23,76,51,33,65,75,48,29,53,1855,54,36,Low,9,12,14,7,8,79,75,2,74,73,26,71,1,75,35,47,82,74,70,46,2,74,1666,65,69,76,76,61,27,3
Lean,West Ham United,West Ham United,2023,6'4,231633,23,20-06-2018,,I. Diop,France,No,LCB,Right,€25.2M,€12M,€46K,203lbs,Medium/ Medium,64,21,77,46,48,60,72,37,32,43,1152,30,34,High,10,7,6,14,9,74,78,2,73,59,31,76,1,77,44,38,86,68,64,50,2,80,1638,68,69,78,83,40,48,3
Normal,VfL Wolfsburg,VfL Wolfsburg,2019,5'10,148839,3,07-08-2017,,P. Verhaegh,Netherlands,No,RB,Right,€2.7M,€1.6M,€32K,163lbs,Medium/ Medium,65,34,69,67,69,71,79,74,62,72,2277,42,49,High,7,10,14,9,12,63,79,2,78,68,52,78,1,74,87,51,74,75,74,66,2,77,1910,66,67,75,69,60,33,3
Normal,Lecce,Lecce,2019,5'11,105866,31,12-09-2018,,C. Bovo,Italy,No,CB,Right,€659K,€425K,€2K,174lbs,Medium/ Medium,38,35,70,50,51,59,73,35,66,35,5240,23,74,High,9,10,10,7,14,64,73,2,69,62,71,75,1,70,64,33,70,64,58,78,2,65,1625,40,46,69,79,34,30,3
Normal,En Avant de Guingamp,Concaf clubs,2019,5'9,49488,22,01-07-2016,,E. Didot,France,No,RDM,Right,€3.4M,€1.7M,€19K,154lbs,Medium/ Medium,41,34,70,67,75,74,75,78,69,69,2238,61,73,High,7,13,12,12,16,61,71,2,62,79,65,70,1,74,65,67,74,72,79,65,2,68,1936,34,66,70,62,78,65,3
Normal,SV Darmstadt 98,SV Darmstadt 98,2019,6'0,207523,5,19-01-2018,,S. Medojević,Serbia,No,LDM,Right,€2.4M,€1.5M,€10K,172lbs,Medium/ Medium,67,27,76,66,66,67,67,58,44,61,5325,38,43,High,12,10,11,12,15,71,70,2,70,69,47,70,1,70,50,56,70,66,67,65,2,69,1790,65,68,72,75,55,39,3
Normal,RC Celta,RC Celta,2019,6'0,165536,22,30-06-2014,,G. Cabral,Argentina,No,CB,Right,€9.3M,€4.4M,€21K,179lbs,Medium/ Medium,38,32,82,59,63,61,71,35,33,49,1437,26,48,High,11,7,11,7,11,79,78,2,81,59,29,75,1,76,47,40,76,74,63,50,2,78,1632,36,73,74,78,49,28,3
Normal,MKE Ankaragücü,MKE Ankaragücü,2021,6'0,188654,75,20-08-2018,,T. Heurtaux,France,No,CB,Right,€6.2M,€3.1M,€17K,172lbs,Medium/ Medium,65,29,77,59,60,61,70,40,40,50,3171,40,31,High,7,6,10,15,10,71,72,2,78,63,36,76,1,73,39,41,73,68,59,60,2,73,1649,55,53,75,76,38,45,3
Normal,BSC Young Boys,BSC Young Boys,2022,6'0,45083,5,01-07-2013,,S. von Bergen,Switzerland,No,LCB,Right,€1.4M,€950K,€12K,174lbs,Medium/ Medium,60,35,77,62,70,58,76,49,42,35,2666,22,18,High,7,12,10,9,13,72,74,2,81,63,32,74,1,73,46,31,73,69,66,57,2,68,1633,49,73,74,77,45,38,3
Normal,U.N.A.M.,U.N.A.M.,2022,6'0,197890,3,01-01-2017,,Arribas,Spain,No,RCB,Right,€7.4M,€4.4M,€18K,168lbs,Medium/ Medium,40,29,77,55,57,68,66,57,40,48,2073,44,32,High,12,15,7,9,16,71,74,2,80,58,15,72,1,74,37,26,74,70,70,45,2,70,1588,54,63,74,78,40,14,3
Normal,Bayer 04 Leverkusen,Bayer 04 Leverkusen,2023,6'0,215930,16,12-07-2013,,T. Jedvaj,Croatia,No,LB,Right,€18.1M,€9.5M,€40K,181lbs,Medium/ Medium,71,22,83,67,66,66,66,67,45,60,1389,51,30,Low,15,13,10,10,12,74,75,2,82,60,39,74,1,76,44,49,83,69,68,65,2,77,1812,68,69,76,75,39,43,3
Normal,Montpellier HSC,Montpellier HSC,2019,6'1,163665,3,01-07-2012,,D. Congré,France,No,LCB,Right,€5.4M,€2.7M,€22K,176lbs,Medium/ Medium,49,33,74,58,61,70,66,65,32,65,1736,25,23,Low,11,10,9,11,7,72,73,2,73,68,26,78,1,75,24,51,75,65,69,41,2,76,1649,62,65,77,80,53,26,3
Normal,TSG 1899 Hoffenheim,TSG 1899 Hoffenheim,2020,6'1,201860,4,01-07-2014,,E. Bičakčić,Bosnia Herzegovina,No,LCB,Right,€10.2M,€6M,€31K,187lbs,Medium/ Medium,53,28,87,54,61,58,63,38,32,35,1398,24,28,High,11,11,15,15,12,74,75,2,65,59,45,74,1,76,39,33,76,73,63,59,2,74,1631,61,61,76,83,41,42,3
Normal,AS Monaco,AS Monaco,2019,6'2,163407,24,01-07-2012,,A. Raggi,Italy,No,CB,Right,€3.8M,€2M,€48K,181lbs,Medium/ Medium,51,34,82,63,58,72,74,72,48,61,1731,44,39,High,6,10,14,10,16,75,74,2,69,66,56,76,1,75,57,59,75,73,74,69,2,75,1838,51,64,73,77,54,50,3
Normal,AEK Athens,AEK Athens,2020,6'2,176483,19,01-07-2016,,D. Chygrynskyi,Ukraine,No,LCB,Right,€11M,€5M,€1K,187lbs,Medium/ Medium,48,31,76,40,42,58,67,40,43,35,1359,32,48,Low,7,11,6,7,10,76,74,2,55,72,42,75,1,76,38,36,76,68,69,53,2,75,1612,52,66,80,87,59,32,3
Normal,SV Werder Bremen,SV Werder Bremen,2020,6'3,183568,15,31-01-2018,,S. Langkamp,Germany,No,CB,Right,€9.4M,€5.5M,€24K,187lbs,Medium/ Medium,51,30,73,51,46,47,67,32,23,35,1220,22,22,High,8,6,14,15,9,82,68,2,65,57,24,77,1,76,38,25,76,74,64,48,2,78,1488,55,53,81,83,40,22,3
Normal,Shandong Luneng TaiShan FC,Shandong Luneng TaiShan FC,2021,6'4,193869,4,20-01-2016,,Gil,BRAZIL,No,LCB,Right,€10.8M,€5M,€18K,192lbs,Medium/ Medium,55,31,81,40,36,60,71,47,39,51,1323,28,34,High,9,11,6,11,14,76,78,2,63,67,41,74,1,76,42,50,76,75,66,69,2,74,1679,49,82,75,89,64,23,3
Stocky,Empoli,Empoli,2019,6'1,159028,26,06-08-2018,,M. Silvestre,Italy,No,RCB,Right,€4.9M,€2.7M,€13K,185lbs,Medium/ Medium,48,33,74,60,58,60,72,38,56,52,1674,32,50,Low,3,5,3,3,5,79,76,2,88,62,56,75,1,75,52,42,75,68,63,70,2,75,1699,52,54,77,77,50,36,3
Lean,Club América,Club América,2018,5'11,171378,22,01-07-2011,,P. Aguilar,Mexico,No,RB,Right,€5.3M,€3.1M,€44K,148lbs,High/ High,86,32,75,71,64,71,73,75,67,68,2303,59,51,Low,7,10,14,12,8,67,70,2,82,68,68,69,1,74,57,60,74,69,69,70,3,68,1989,78,90,71,68,63,64,3
Lean,Fenerbahçe SK,Fenerbahçe SK,2020,5'9,187800,4,21-07-2017,,M. Isla,Chile,No,RB,Right,€9.1M,€4.8M,€48K,165lbs,High/ High,80,30,76,84,78,73,76,78,78,75,1883,41,64,Low,7,8,7,7,7,58,73,2,66,72,66,72,1,75,68,70,75,74,75,65,3,75,2020,75,79,75,68,68,58,3
Lean,FK Austria Wien,FK Austria Wien,2020,6'0,161857,17,23-08-2017,,F. Klein,Austria,No,RB,Right,€1.7M,€1.2M,€9K,159lbs,High/ High,77,31,71,74,71,67,66,71,70,69,4996,53,66,Low,8,13,9,12,6,58,63,2,64,65,60,72,1,70,66,62,70,61,69,68,3,65,1915,75,82,68,63,63,54,3
Normal,Borussia Dortmund,Borussia Dortmund,2020,5'10,200215,18,01-07-2016,,S. Rode,Germany,No,CDM,Right,€13.3M,€7.5M,€40K,165lbs,High/ High,69,27,83,70,74,72,74,66,51,71,1230,55,52,High,9,8,14,7,11,66,79,2,76,71,65,78,1,76,51,69,77,74,75,75,3,77,1977,64,68,77,74,71,55,3
Normal,Udinese,Udinese,2020,5'8,192575,8,01-01-2010,,E. Badu,Ghana,No,CM,Right,€12.6M,€7M,€25K,154lbs,High/ High,86,27,72,88,81,75,73,69,64,76,1700,60,50,High,15,5,9,13,14,70,74,2,90,69,74,69,1,75,58,74,75,75,76,76,3,72,2102,75,91,74,66,70,72,3
Normal,Sampdoria,Sampdoria,2021,5'9,211408,16,29-07-2016,,K. Linetty,Poland,No,CM,Right,€20M,€10.5M,€28K,161lbs,High/ High,76,23,79,76,79,76,70,60,62,74,1505,64,36,Low,13,8,11,14,6,56,76,2,79,74,64,72,1,76,50,68,83,74,78,70,3,70,1967,69,79,74,66,76,38,3
Normal,Lazio,Lazio,2023,6'0,167514,8,01-07-2014,,D. Basta,Serbia,No,RB,Right,€5.8M,€3.4M,€41K,159lbs,High/ High,74,33,72,70,68,77,75,75,72,74,1005,58,66,High,12,6,11,14,14,72,82,2,70,74,75,74,1,77,55,66,77,75,76,77,3,75,2055,75,77,77,72,56,64,3
Normal,Racing Club de Lens,Racing Club de Lens,2019,6'1,163186,27,02-08-2018,,G. Gillet,Belgium,No,CDM,Right,€1.7M,€950K,€8K,174lbs,High/ High,62,34,74,60,54,73,75,60,67,68,3561,71,65,Low,9,14,15,12,10,74,72,2,76,70,70,69,1,72,69,74,72,71,71,71,3,70,1993,63,73,69,78,70,69,3
Stocky,SL Benfica,SL Benfica,2023,5'10,212878,30,01-07-2018,,N. Castillo,Chile,No,ST,Right,€24.9M,€12M,€14K,179lbs,High/ High,70,25,78,62,75,76,74,49,67,68,1062,80,66,High,13,8,9,10,15,77,37,2,82,59,72,40,1,77,86,78,82,74,65,82,3,19,1899,68,69,30,88,58,69,3
Lean,Trabzonspor,Trabzonspor,2019,5'11,168565,7,24-01-2017,,H. Rodallega,COLOMBIANA,No,ST,Right,€9M,€4.5M,€28K,159lbs,High/ Low,75,32,54,76,75,74,74,69,71,75,2307,72,70,High,6,8,8,8,9,74,44,2,88,60,71,41,1,74,73,75,74,73,69,73,3,33,1928,75,77,38,73,69,72,3
Lean,Panathinaikos FC,Panathinaikos FC,2021,6'0,186140,9,03-09-2018,,F. Macheda,Italy,No,ST,Right,€6.4M,€2.8M,€1K,161lbs,High/ Low,67,26,41,70,63,73,68,60,69,69,4046,72,51,Low,14,12,11,11,7,68,35,2,70,25,69,38,1,71,64,73,72,65,68,73,3,12,1700,70,65,11,69,63,72,3
Lean,Stade Brestois 29,Stade Brestois 29,2019,6'2,192647,10,13-07-2017,,G. Charbonnier,France,No,ST,Right,€5.4M,€3.1M,€7K,176lbs,High/ Low,34,29,39,70,61,72,73,52,57,70,3636,75,59,High,11,13,11,8,16,72,28,2,60,53,67,27,1,72,71,76,72,70,71,74,3,13,1698,49,60,39,85,69,66,3
Normal,Parma,Parma,2019,5'10,184312,77,07-08-2018,,J. Biabiany,France,No,RW,Right,€9.9M,€5.5M,€38K,161lbs,High/ Low,95,30,58,86,80,76,65,72,67,77,2587,66,47,Low,11,5,9,6,5,53,24,2,64,54,57,27,1,74,63,72,74,67,69,70,3,30,1803,93,74,30,65,63,68,3
Normal,Club Atlético Banfield,Club Atlético Banfield,2021,5'10,177537,8,23-07-2018,,N. Bertolo,Argentina,No,LM,Right,€3.6M,€2.4M,€11K,165lbs,High/ Low,65,32,63,79,68,72,68,74,76,76,3623,67,56,Low,6,16,6,9,13,60,57,2,53,66,67,30,1,72,57,74,72,66,72,72,3,28,1817,72,66,28,68,74,61,3
Normal,Al Raed,Al Raed,2020,5'9,168984,10,19-01-2016,,I. Bangoura,Guinea,No,ST,Right,€2.5M,€1.5M,€15K,161lbs,High/ Low,61,33,60,70,67,68,69,48,61,63,4030,75,52,High,12,11,14,10,13,70,22,2,75,47,68,41,1,71,73,71,71,69,63,71,3,29,1739,68,66,16,71,64,70,3
Normal,Club Atlético Banfield,Club Atlético Banfield,2020,5'9,152997,20,07-02-2017,,D. Cvitanich,Argentina,No,ST,Right,€7M,€4.7M,€19K,159lbs,High/ Low,68,34,68,72,79,83,77,64,67,70,1090,79,66,Low,15,12,15,12,11,79,33,2,81,65,67,31,1,77,79,81,77,74,73,71,3,34,1932,62,69,32,75,74,71,3
Normal,Sassuolo,Sassuolo,2019,6'0,177528,10,16-08-2016,,A. Matri,Italy,No,ST,Right,€3.3M,€2M,€35K,176lbs,High/ Low,67,33,50,68,66,71,77,50,65,64,3584,73,46,Low,4,4,4,5,4,76,25,2,85,45,58,44,1,72,67,75,72,70,67,72,3,24,1713,66,56,28,77,60,77,3
Normal,Alanyaspor,Alanyaspor,2020,6'1,152814,13,09-07-2018,,Bobô,BRAZIL,No,ST,Right,€8.4M,€4.2M,€16K,187lbs,High/ Low,67,33,58,69,66,68,78,66,53,70,2037,78,43,High,12,7,9,15,13,78,29,2,76,58,68,23,1,75,80,75,75,75,69,79,3,19,1797,64,67,22,79,68,74,3
Normal,Al Wehda,Al Wehda,2020,6'4,190024,9,01-07-2018,,Fernandão,BRAZIL,No,ST,Right,€8.5M,€5M,€24K,194lbs,High/ Low,42,31,76,49,36,72,67,27,51,66,2215,76,47,High,8,7,12,9,16,82,30,2,48,49,62,15,1,74,83,77,74,73,64,83,3,23,1642,46,63,28,91,55,76,3
Stocky,AS Saint-Étienne,AS Saint-Étienne,2021,6'0,212350,9,07-07-2017,,L. Diony,France,No,LM,Right,€9.9M,€5M,€26K,181lbs,High/ Low,78,25,68,69,73,70,71,67,57,72,2908,73,48,High,7,6,8,14,16,69,21,2,71,44,68,18,1,73,68,72,76,67,68,80,3,15,1771,78,71,23,78,68,66,3
Lean,KSV Cercle Brugge,KSV Cercle Brugge,2020,5'10,169281,6,10-09-2018,,S. Gakpé,Togo,No,RM,Right,€4M,€2.7M,€11K,174lbs,High/ Medium,87,31,41,86,82,73,55,66,59,73,3414,65,58,Low,16,15,11,12,6,69,31,2,84,57,71,30,1,72,65,74,72,65,70,75,3,24,1834,87,68,21,61,65,67,3
Lean,KAA Gent,KAA Gent,2022,5'10,193470,2,31-08-2018,,A. Souquet,France,No,RB,Right,€11.8M,€7.5M,€19K,161lbs,High/ Medium,75,26,66,68,65,77,72,74,62,74,1483,59,46,High,15,10,8,13,11,70,71,2,67,71,41,73,1,76,49,74,77,72,75,59,3,77,1927,74,75,78,70,69,39,3
Lean,Beşiktaş JK,Beşiktaş JK,2020,5'9,143699,77,01-07-2016,,G. Gönül,Turkey,No,RB,Right,€5.6M,€3M,€40K,165lbs,High/ Medium,76,33,74,78,80,75,78,77,65,78,1332,58,48,Low,8,13,10,13,10,60,75,2,78,68,65,74,1,76,67,76,76,79,74,70,3,73,2049,78,77,78,65,72,57,3
Lean,Huddersfield Town,Huddersfield Town,2019,6'0,207920,37,13-07-2018,,E. Durm,Germany,No,RWB,Right,€12.8M,€6.5M,€38K,159lbs,High/ Medium,78,26,67,72,66,71,69,75,60,65,1663,50,35,Low,12,14,8,15,11,62,75,2,74,51,44,75,1,75,55,68,77,72,66,66,3,76,1878,76,79,71,66,60,43,3
Lean,En Avant de Guingamp,Concaf clubs,2020,6'0,226414,24,01-07-2015,,M. Coco,France,No,RM,Right,€19.8M,€9M,€19K,172lbs,High/ Medium,86,22,49,82,71,76,69,75,60,78,1806,71,36,High,12,6,15,7,7,59,50,2,60,64,68,29,1,75,59,73,81,69,76,69,3,32,1827,86,60,44,63,67,68,3
Lean,Sampdoria,Sampdoria,2021,6'1,181318,8,16-08-2018,,A. Ekdal,Sweden,No,LCM,Right,€12.8M,€7.5M,€34K,165lbs,High/ Medium,54,28,83,61,58,79,75,67,74,74,1311,60,70,Low,5,5,5,5,5,60,70,2,66,77,69,74,1,76,68,70,76,73,78,72,3,62,1957,52,75,71,75,74,66,3
Normal,Frosinone,Frosinone,2021,5'10,173132,18,28-07-2014,,F. Dionisi,Italy,No,ST,Right,€6.5M,€3.6M,€15K,150lbs,High/ Medium,79,31,68,66,68,71,73,42,52,68,2774,74,51,Low,6,11,8,6,11,67,30,2,74,36,69,38,1,73,70,74,73,72,65,75,3,29,1751,85,72,27,63,53,71,3
Normal,FC Girondins de Bordeaux,FC Girondins de Bordeaux,2021,5'10,201073,12,31-08-2017,,N. De Préville,France,No,LW,Right,€11.4M,€6M,€36K,170lbs,High/ Medium,78,27,72,79,74,74,72,70,73,75,2300,74,73,Low,8,10,14,11,9,69,48,2,68,69,72,26,1,74,74,74,74,72,73,75,3,39,1926,76,69,25,57,72,74,3
Normal,Napoli,Napoli,2022,5'10,198949,2,08-08-2018,,K. Malcuit,France,No,RB,Right,€13.3M,€7.5M,€47K,170lbs,High/ Medium,80,26,77,76,70,75,67,78,58,78,1254,66,47,Low,12,13,12,9,11,63,71,2,72,69,56,72,1,76,55,66,77,70,76,66,3,75,2009,87,77,74,76,66,56,3
Normal,Wigan Athletic,Wigan Athletic,2020,5'11,194122,9,14-07-2015,,W. Grigg,Northern Ireland,No,ST,Right,€4.2M,€2.1M,€30K,154lbs,High/ Medium,77,26,50,71,73,63,69,31,39,64,5031,73,50,High,12,9,13,15,10,66,22,2,72,40,67,26,1,70,72,73,71,68,59,68,3,20,1697,75,81,37,77,54,70,3
Normal,Napoli,Napoli,2021,5'11,236311,30,18-07-2017,,M. Rog,Croatia,No,CM,Right,€17.1M,€9M,€43K,161lbs,High/ Medium,78,22,74,63,67,78,76,75,64,80,1616,62,57,Low,6,15,12,13,12,47,58,2,48,78,74,64,1,75,60,62,81,72,82,70,3,66,1953,75,64,68,68,76,65,3
Normal,Vitória de Setúbal,Vitória de Setúbal,2019,5'9,190779,15,01-07-2018,,Rúben Micael,Portugal,No,CM,Right,€5.6M,€2.7M,€6K,154lbs,High/ Medium,66,31,69,72,74,77,74,73,80,74,3395,64,74,High,7,13,10,11,14,59,60,2,65,72,71,47,1,72,68,73,72,71,76,76,3,40,1926,61,50,54,60,78,67,3
